# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.storage.jps.conf.reader.load.component.ms,1775213556063000000,1775213616062000000,4
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775213556063000000,1775213616062000000,0
workspaceModel.load.cache.from.file.ms,1775213556063000000,1775213616062000000,1
jps.save.global.entities.ms,1775213556063000000,1775213616062000000,9
workspaceModel.mutableEntityStorage.collect.changes.ms,1775213556063000000,1775213616062000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775213556063000000,1775213616062000000,18
workspaceModel.save.cache.to.file.ms,1775213556063000000,1775213616062000000,375
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775213556063000000,1775213616062000000,16
workspaceModel.global.updates.ms,1775213556063000000,1775213616062000000,40
workspaceModel.sync.entities.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775213556063000000,1775213616062000000,135
workspaceModel.global.apply.state.to.project.builder.ms,1775213556063000000,1775213616062000000,5
workspaceModel.moduleBridge.facet.initialization.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775213556063000000,1775213616062000000,0
jps.project.serializers.load.ms,1775213556063000000,1775213616062000000,152
jps.facet.change.listener.process.change.events.ms,1775213556063000000,1775213616062000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1775213556063000000,1775213616062000000,0
jps.global.get.library.by.name.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1775213556063000000,1775213616062000000,1
jps.global.handle.changed.events.ms,1775213556063000000,1775213616062000000,0
jps.artifact.entities.serializer.save.entities.ms,1775213556063000000,1775213616062000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775213556063000000,1775213616062000000,31
jps.artifact.entities.serializer.load.entities.ms,1775213556063000000,1775213616062000000,0
workspaceModel.global.apply.state.to.project.ms,1775213556063000000,1775213616062000000,27
workspaceModel.mutableEntityStorage.resolve.ms,1775213556063000000,1775213616062000000,0
workspaceModel.global.updates.count,1775213556063000000,1775213616062000000,1
jps.library.entities.serializer.load.entities.ms,1775213556063000000,1775213616062000000,0
jps.apply.loaded.storage.ms,1775213556063000000,1775213616062000000,185
jps.global.get.library.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1775213556063000000,1775213616062000000,2
jps.global.get.libraries.ms,1775213556063000000,1775213616062000000,1
jps.load.initial.state.ms,1775213556063000000,1775213616062000000,36
workspaceModel.moduleManagerBridge.get.modules.ms,1775213556063000000,1775213616062000000,0
jps.global.handle.before.change.events.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775213556063000000,1775213616062000000,0
workspaceModel.do.save.caches.ms,1775213556063000000,1775213616062000000,375
jps.library.entities.serializer.save.entities.ms,1775213556063000000,1775213616062000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1775213556063000000,1775213616062000000,0
workspaceModel.moduleBridge.before.changed.ms,1775213556063000000,1775213616062000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775213556063000000,1775213616062000000,0
jps.load.project.to.empty.storage.ms,1775213556063000000,1775213616062000000,287
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775213556063000000,1775213616062000000,3
workspaceModel.orphan.listener.update.ms,1775213556063000000,1775213616062000000,4
workspaceModel.mutableEntityStorage.referrers.ms,1775213556063000000,1775213616062000000,0
jps.save.changed.project.entities.ms,1775213556063000000,1775213616062000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1775213556063000000,1775213616062000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1775213556063000000,1775213616062000000,40
workspaceModel.mutableEntityStorage.entities.ms,1775213556063000000,1775213616062000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1775213556063000000,1775213616062000000,0
jps.reload.project.entities.ms,1775213556063000000,1775213616062000000,0
cacheStateStorage.get.counter,1775213556063000000,1775213616062000000,20
cacheStateStorage.set.duration,1775213556063000000,1775213616062000000,106
cacheStateStorage.get.duration,1775213556063000000,1775213616062000000,34
cacheStateStorage.set.counter,1775213556063000000,1775213616062000000,7
StorageLockContext.competingThreads.avg,1775213556063000000,1775213616062000000,0.04201680672268908
FilePageCache.totalPageDisposalsUs,1775213556063000000,1775213616062000000,727
FilePageCache.pageLoadsAboveSizeThreshold,1775213556063000000,1775213616062000000,0
FilePageCache.maxRegisteredFiles,1775213556063000000,1775213616062000000,1097
StreamlinedBlobStorage.recordsAllocated,1775213556063000000,1775213616062000000,33536
DirectByteBufferAllocator.misses,1775213556063000000,1775213616062000000,435
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775213556063000000,1775213616062000000,41959424
StorageLockContext.competingThreads.90P,1775213556063000000,1775213616062000000,0
FilePageCache.maxCacheSizeInBytes,1775213556063000000,1775213616062000000,456130560
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775213556063000000,1775213616062000000,511359
FilePageCache.capacityInBytes,1775213556063000000,1775213616062000000,629145600
StorageLockContext.competingThreads.max,1775213556063000000,1775213616062000000,2
DirectByteBufferAllocator.hits,1775213556063000000,1775213616062000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775213556063000000,1775213616062000000,2392983
FilePageCache.pageFastCacheHits,1775213556063000000,1775213616062000000,5483739
DirectByteBufferAllocator.disposed,1775213556063000000,1775213616062000000,0
FilePageCache.uncachedFileAccess,1775213556063000000,1775213616062000000,720
FileChannelInterruptsRetryer.totalRetriedAttempts,1775213556063000000,1775213616062000000,0
FilePageCache.totalPageLoadsUs,1775213556063000000,1775213616062000000,806466
StreamlinedBlobStorage.recordsRelocated,1775213556063000000,1775213616062000000,0
MappedFileStorage.totalBytesMapped,1775213556063000000,1775213616062000000,194248704
FilePageCache.pageLoads,1775213556063000000,1775213616062000000,435
MappedFileStorage.totalTimeSpentOnMappingUs,1775213556063000000,1775213616062000000,382068
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775213556063000000,1775213616062000000,456130560
FilePageCache.pageHits,1775213556063000000,1775213616062000000,274824
FilePageCache.disposedBuffers,1775213556063000000,1775213616062000000,0
DirectByteBufferAllocator.reclaimed,1775213556063000000,1775213616062000000,0
StreamlinedBlobStorage.recordsDeleted,1775213556063000000,1775213616062000000,3
MappedFileStorage.totalPagesMapped,1775213556063000000,1775213616062000000,14
MappedFileStorage.storages,1775213556063000000,1775213616062000000,14
VFS.fileChildByName,1775213556063000000,1775213616062000000,17221
FileNameCache.totalMisses,1775213556063000000,1775213616062000000,25280
VFS.cache.segmentsCreated,1775213556063000000,1775213616062000000,174
VFS.invertedFileNameIndex.requests,1775213556063000000,1775213616062000000,2
VFS.rootsCount,1775213556063000000,1775213616062000000,68.0
VFS.contentStorage.recordsUncompressedSize,1775213556063000000,1775213616062000000,27080
VFS.contentStorage.recordsRead,1775213556063000000,1775213616062000000,1
VFS.contentStorage.recordsStoredSize,1775213556063000000,1775213616062000000,4729
VFS.cache.directoriesCreated,1775213556063000000,1775213616062000000,5111
VFS.fileByIdCache.misses,1775213556063000000,1775213616062000000,33
VFS.folderCaseSensitivityReads,1775213556063000000,1775213616062000000,82
FileNameCache.queries,1775213556063000000,1775213616062000000,2534464
VFS.fileByIdCache.hits,1775213556063000000,1775213616062000000,0
VFS.cache.filesCreated,1775213556063000000,1775213616062000000,55803
VFS.cache.segments,1775213556063000000,1775213616062000000,173.0
VFS.contentStorage.recordsReadSize,1775213556063000000,1775213616062000000,2520
VFS.contentStorage.recordsDeduplicated,1775213556063000000,1775213616062000000,0
VFS.contentStorage.recordsStored,1775213556063000000,1775213616062000000,2
VFS.contentStorage.recordsDecompressionTimeUs,1775213556063000000,1775213616062000000,0
VFS.contentStorage.recordsStoredCompressed,1775213556063000000,1775213616062000000,1
VFS.contentStorage.recordsReadDecompressed,1775213556063000000,1775213616062000000,0
JVM.usedHeapBytes,1775213556063000000,1775213616062000000,948918496
MEM.ramMinusFileMappingsBytes,1775213556063000000,1775213616062000000,2611814400
JVM.committedHeapBytes,1775213556063000000,1775213616062000000,1491075072
MEM.fileMappingsRamBytes,1775213556063000000,1775213616062000000,588513280
JVM.threadCount,1775213556063000000,1775213616062000000,151
JVM.maxThreadCount,1775213556063000000,1775213616062000000,155
JVM.maxHeapBytes,1775213556063000000,1775213616062000000,2147483648
JVM.totalCpuTimeMs,1775213556063000000,1775213616062000000,360280
JVM.totalTimeAtSafepointsMs,1775213556063000000,1775213616062000000,2077
JVM.usedNativeBytes,1775213556063000000,1775213616062000000,380768424
JVM.GC.collectionTimesMs,1775213556063000000,1775213616062000000,1965
JVM.GC.collections,1775213556063000000,1775213616062000000,123
JVM.totalTimeToSafepointsMs,1775213556063000000,1775213616062000000,60
JVM.newThreadsCount,1775213556063000000,1775213616062000000,183
JVM.totalBytesAllocated,1775213556063000000,1775213616062000000,19046426104
JVM.totalSafepointCount,1775213556063000000,1775213616062000000,303
MEM.ramPlusSwapMinusFileMappingsBytes,1775213556063000000,1775213616062000000,2611814400
MEM.ramBytes,1775213556063000000,1775213616062000000,3200770048
OS.loadAverage,1775213556063000000,1775213616062000000,7.35400390625
JVM.totalDirectByteBuffersBytes,1775213556063000000,1775213616062000000,467110486
compiler.ArtifactManagerBridge.commit.ms,1775213616062000000,1775213676071000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1775213616062000000,1775213676071000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1775213616062000000,1775213676071000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1775213616062000000,1775213676071000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1775213616062000000,1775213676071000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1775213616062000000,1775213676071000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1775213616062000000,1775213676071000000,0
parser.JAVA.size.bytes,1775213616062000000,1775213676071000000,8
writeAction.count,1775213616062000000,1775213676071000000,3
DiskQueryRelay.taskWaitingTotalTimeUs,1775213616062000000,1775213676071000000,24683
